R,M
51.618000999970405,0.024951239776413107
49.7740009999747,0.027793177939473026
47.99500099997885,0.03095636264352466
46.27700099998285,0.03447578562226684
44.61900099998672,0.03838969644073788
43.019000999990446,0.04274047784762042
41.47400099999405,0.04757676354744716
39.981000999997526,0.05294985759207788
38.540001000000885,0.058915136590439066
37.14800100000413,0.06553297357938635
35.802001000007266,0.07287226963479902
34.5010010000103,0.08100484436619412
33.24400100001323,0.09000642139306592
32.02800100001606,0.09995746143848741
30.851001000014723,0.11094813358811247
29.71100100001333,0.12306985397864226
28.60700100001198,0.1364144660865589
27.538001000010674,0.15107451023173532
26.501001000009406,0.1671491279141794
25.494001000008176,0.18473094920286584
24.51600100000698,0.20390129881934074
23.56600100000582,0.22472884713097316
22.64200100000469,0.24727552399784278
21.74100100000359,0.27157480589925675
20.864001000002517,0.2976218088184065
20.00800100000147,0.3253697515185937
19.17200100000045,0.3547358217419117
18.35500099999945,0.3855661120657488
17.555000999998473,0.41762711675421255
16.772000999997516,0.45060661265427865
16.00500099999658,0.48412073925824206
15.254000999996986,0.5176751085946079
14.518000999997394,0.5506800675573584
13.797000999997794,0.582481816226837
13.092000999998184,0.6123592230394783
12.403000999998566,0.6395389010562784
11.731000999998939,0.6632552705521363
11.077000999999301,0.6827915600770544
10.444000999999652,0.6975005875053935
9.83400099999999,0.7068777513808426
9.247001000000315,0.7105976765133485
8.687001000000626,0.7085307947047098
8.15600100000092,0.7007759532588941
7.657001000000892,0.6876517656520197
7.191001000000736,0.6696755185843475
6.762001000000593,0.6475376125334242
6.371001000000462,0.6220519421629228
6.020001000000345,0.594110818860485
5.713001000000243,0.5646400869105077
5.451001000000155,0.5345581780580964
